[0;32mI (56192) app_main: t=1605354915 178142000[0m
[0;32mI (57182) app_main: t=1605354916 168142000[0m
RX 57646093 265 265 b 0
RX 57646369 276 275 b 1
RX 57646634 265 265 b 0
RX 57646910 276 275 b 1
RX 57648165 1255 1255 a 0
RX 57648416 251 250 b 1
RX 57658896 10480 10480 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1 ok 0
RX 57659166 270 270 b 1
RX 57661869 2703 2700 s 0
RX 57662144 275 275 b 1
RX 57663422 1278 1275 a 0
RX 57663698 276 275 b 1
RX 57663961 263 260 b 0
RX 57664240 279 275 b 1
RX 57665518 1278 1275 a 0
RX 57665794 276 275 b 1
RX 57666058 264 260 b 0
RX 57666338 280 280 b 1
RX 57666594 256 255 b 0
RX 57666875 281 280 b 1
RX 57668157 1282 1280 a 0
RX 57668435 278 275 b 1
RX 57668696 261 260 b 0
RX 57668975 279 275 b 1
RX 57670305 1330 1330 a 0
RX 57670579 274 270 b 1
RX 57671858 1279 1275 a 0
RX 57672136 278 275 b 1
RX 57672402 266 265 b 0
RX 57672680 278 275 b 1
RX 57673957 1277 1275 a 0
RX 57674236 279 275 b 1
RX 57674497 261 260 b 0
RX 57674777 280 280 b 1
RX 57676052 1275 1275 a 0
RX 57676330 278 275 b 1
RX 57676595 265 265 b 0
RX 57676871 276 275 b 1
RX 57677136 265 265 b 0
RX 57677410 274 270 b 1
RX 57678745 1335 1335 a 0
RX 57679024 279 275 b 1
RX 57680300 1276 1275 a 0
RX 57680578 278 275 b 1
RX 57680838 260 260 b 0
RX 57681117 279 275 b 1
RX 57682396 1279 1275 a 0
RX 57682677 281 280 b 1
RX 57682939 262 260 b 0
RX 57683218 279 275 b 1
RX 57684495 1277 1275 a 0
RX 57684774 279 275 b 1
RX 57685037 263 260 b 0
RX 57685314 277 275 b 1
RX 57685575 261 260 b 0
RX 57685852 277 275 b 1
RX 57687184 1332 1330 a 0
RX 57687463 279 275 b 1
RX 57688742 1279 1275 a 0
RX 57689018 276 275 b 1
RX 57689282 264 260 b 0
RX 57689561 279 275 b 1
RX 57689825 264 260 b 0
RX 57690097 272 270 b 1
RX 57691381 1284 1280 a 0
RX 57691662 281 280 b 1
RX 57692937 1275 1275 a 0
RX 57693213 276 275 b 1
RX 57693478 265 265 b 0
RX 57693754 276 275 b 1
RX 57695038 1284 1280 a 0
RX 57695312 274 270 b 1
RX 57695630 318 315 b 0
RX 57695906 276 275 b 1
RX 57697184 1278 1275 a 0
RX 57697462 278 275 b 1
RX 57697723 261 260 b 0
RX 57698001 278 275 b 1
RX 57699282 1281 1280 a 0
RX 57699558 276 275 b 1
RX 57699823 265 265 b 0
RX 57700103 280 280 b 1
RX 57701378 1275 1275 a 0
RX 57701658 280 280 b 1
RX 57701917 259 255 b 0
RX 57702195 278 275 b 1
RX 57703474 1279 1275 a 0
RX 57703754 280 280 b 1
RX 57704067 313 310 b 0
RX 57704347 280 280 b 1
RX 57705624 1277 1275 a 0
RX 57705900 276 275 b 1
RX 57706168 268 265 b 0
RX 57706444 276 275 b 1
RX 57706704 260 260 b 0
RX 57706981 277 275 b 1
RX 57708266 1285 1285 a 0
RX 57708546 280 280 b 1
RX 57709820 1274 1270 a 0
RX 57710096 276 275 b 1
RX 57710358 262 260 b 0
RX 57710636 278 275 b 1
RX 57711924 1288 1285 a 0
RX 57712200 276 275 b 1
RX 57712513 313 310 b 0
RX 57712792 279 275 b 1
RX 57714069 1277 1275 a 0
RX 57714344 275 275 b 1
RX 57714609 265 265 b 0
RX 57714885 276 275 b 1
RX 57715151 266 265 b 0
RX 57715425 274 270 b 1
RX 57716710 1285 1285 a 0
RX 57716983 273 270 b 1
RX 57717245 262 260 b 0
RX 57717522 277 275 b 1
RX 57718808 1286 1285 a 0
RX 57719083 275 275 b 1
RX 57719346 263 260 b 0
RX 57719623 277 275 b 1
RX 57720954 1331 1330 a 0
RX 57721233 279 275 b 1
RX 57722509 1276 1275 a 0
RX 57722788 279 275 b 1
RX 57723053 265 265 b 0
RX 57723329 276 275 b 1
RX 57724607 1278 1275 a 0
RX 57724886 279 275 b 1
RX 57725147 261 260 b 0
RX 57725427 280 280 b 1
RX 57726706 1279 1275 a 0
RX 57726978 272 270 b 1
RX 57727247 269 265 b 0
RX 57727519 272 270 b 1
RX 57727787 268 265 b 0
RX 57728061 274 270 b 1
RX 57729324 1263 1260 a 0
RX 57729571 247 245 b 1
RX 57740050 10479 10475 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1 ok 0
RX 57740324 274 270 b 1
RX 57743023 2699 2695 s 0
RX 57743299 276 275 b 1
RX 57744578 1279 1275 a 0
RX 57744854 276 275 b 1
RX 57745111 257 255 b 0
RX 57745396 285 285 b 1
RX 57746672 1276 1275 a 0
RX 57746948 276 275 b 1
RX 57747215 267 265 b 0
RX 57747488 273 270 b 1
RX 57747752 264 260 b 0
RX 57748031 279 275 b 1
RX 57749313 1282 1280 a 0
RX 57749592 279 275 b 1
RX 57749852 260 260 b 0
RX 57750133 281 280 b 1
RX 57751462 1329 1325 a 0
RX 57751738 276 275 b 1
RX 57753014 1276 1275 a 0
RX 57753296 282 280 b 1
RX 57753562 266 265 b 0
RX 57753836 274 270 b 1
RX 57755112 1276 1275 a 0
RX 57755391 279 275 b 1
RX 57755655 264 260 b 0
RX 57755934 279 275 b 1
RX 57757210 1276 1275 a 0
RX 57757485 275 275 b 1
RX 57757751 266 265 b 0
RX 57758029 278 275 b 1
RX 57758295 266 265 b 0
RX 57758569 274 270 b 1
RX 57759905 1336 1335 a 0
RX 57760182 277 275 b 1
RX 57761459 1277 1275 a 0
RX 57761737 278 275 b 1
RX 57761997 260 260 b 0
RX 57762276 279 275 b 1
RX 57763553 1277 1275 a 0
RX 57763832 279 275 b 1
RX 57764100 268 265 b 0
RX 57764374 274 270 b 1
RX 57765658 1284 1280 a 0
RX 57765932 274 270 b 1
RX 57766199 267 265 b 0
RX 57766475 276 275 b 1
RX 57766735 260 260 b 0
RX 57767014 279 275 b 1
RX 57768345 1331 1330 a 0
RX 57768621 276 275 b 1
RX 57769899 1278 1275 a 0
RX 57770180 281 280 b 1
RX 57770440 260 260 b 0
RX 57770717 277 275 b 1
RX 57770981 264 260 b 0
RX 57771256 275 275 b 1
RX 57772543 1287 1285 a 0
RX 57772817 274 270 b 1
RX 57774097 1280 1280 a 0
RX 57774371 274 270 b 1
RX 57774635 264 260 b 0
RX 57774914 279 275 b 1
RX 57776201 1287 1285 a 0
RX 57776476 275 275 b 1
RX 57776789 313 310 b 0
RX 57777067 278 275 b 1
RX 57778349 1282 1280 a 0
RX 57778626 277 275 b 1
RX 57778886 260 260 b 0
RX 57779161 275 275 b 1
RX 57780441 1280 1280 a 0
RX 57780720 279 275 b 1
RX 57780986 266 265 b 0
RX 57781264 278 275 b 1
RX 57782541 1277 1275 a 0
RX 57782820 279 275 b 1
RX 57783082 262 260 b 0
RX 57783362 280 280 b 1
RX 57784639 1277 1275 a 0
RX 57784914 275 275 b 1
RX 57785228 314 310 b 0
RX 57785506 278 275 b 1
RX 57786786 1280 1280 a 0
RX 57787060 274 270 b 1
RX 57787327 267 265 b 0
RX 57787606 279 275 b 1
RX 57787867 261 260 b 0
RX 57788146 279 275 b 1
RX 57789428 1282 1280 a 0
RX 57789705 277 275 b 1
RX 57790985 1280 1280 a 0
RX 57791260 275 275 b 1
RX 57791527 267 265 b 0
RX 57791797 270 270 b 1
RX 57793087 1290 1290 a 0
