[0;32mI (79022) app_main: t=1605354938 8142000[0m
[0;32mI (80022) app_main: t=1605354939 8142000[0m
RX 80836313 1278 1275 a 0
RX 80836600 287 285 b 1
RX 80836852 252 250 b 0
RX 80837137 285 285 b 1
RX 80838408 1271 1270 a 0
RX 80838695 287 285 b 1
RX 80838950 255 255 b 0
RX 80839236 286 285 b 1
RX 80839491 255 255 b 0
RX 80839776 285 285 b 1
RX 80841099 1323 1320 a 0
RX 80841384 285 285 b 1
RX 80842653 1269 1265 a 0
RX 80842946 293 290 b 1
RX 80843197 251 250 b 0
RX 80843486 289 285 b 1
RX 80844753 1267 1265 a 0
RX 80845039 286 285 b 1
RX 80845293 254 250 b 0
RX 80845579 286 285 b 1
RX 80846857 1278 1275 a 0
RX 80847142 285 285 b 1
RX 80847394 252 250 b 0
RX 80847682 288 285 b 1
RX 80847934 252 250 b 0
RX 80848222 288 285 b 1
RX 80849545 1323 1320 a 0
RX 80849830 285 285 b 1
RX 80851091 1261 1260 a 0
RX 80851384 293 290 b 1
RX 80851641 257 255 b 0
RX 80851925 284 280 b 1
RX 80852179 254 250 b 0
RX 80852467 288 285 b 1
RX 80853742 1275 1275 a 0
RX 80854026 284 280 b 1
RX 80855297 1271 1270 a 0
RX 80855583 286 285 b 1
RX 80855838 255 255 b 0
RX 80856124 286 285 b 1
RX 80857399 1275 1275 a 0
RX 80857684 285 285 b 1
RX 80857989 305 305 b 0
RX 80858273 284 280 b 1
RX 80859542 1269 1265 a 0
RX 80859830 288 285 b 1
RX 80860083 253 250 b 0
RX 80860368 285 285 b 1
RX 80861643 1275 1275 a 0
RX 80861926 283 280 b 1
RX 80862183 257 255 b 0
RX 80862470 287 285 b 1
RX 80863739 1269 1265 a 0
RX 80864025 286 285 b 1
RX 80864281 256 255 b 0
RX 80864566 285 285 b 1
RX 80865836 1270 1270 a 0
RX 80866124 288 285 b 1
RX 80866428 304 300 b 0
RX 80866718 290 290 b 1
RX 80867978 1260 1260 a 0
RX 80868274 296 295 b 1
RX 80868525 251 250 b 0
RX 80868814 289 285 b 1
RX 80869066 252 250 b 0
RX 80869354 288 285 b 1
RX 80870629 1275 1275 a 0
RX 80870914 285 285 b 1
RX 80872185 1271 1270 a 0
RX 80872466 281 280 b 1
RX 80872725 259 255 b 0
RX 80873007 282 280 b 1
