[0;32mI (442926) app_main: t=1605635635 16080000[0m
[0;32mI (443916) app_main: t=1605635636 6080000[0m
[0;32mI (444916) app_main: t=1605635637 6080000[0m
RX 445476355 249 245 b 0
RX 445476652 297 295 b 1
RX 445477975 1323 1320 a 0
RX 445478269 294 290 b 1
RX 445479539 1270 1270 a 0
RX 445479832 293 290 b 1
RX 445480083 251 250 b 0
RX 445480380 297 295 b 1
RX 445480629 249 245 b 0
RX 445480927 298 295 b 1
RX 445482201 1274 1270 a 0
RX 445482494 293 290 b 1
RX 445483764 1270 1270 a 0
RX 445484059 295 295 b 1
RX 445484308 249 245 b 0
RX 445484602 294 290 b 1
RX 445485878 1276 1275 a 0
RX 445486174 296 295 b 1
RX 445486474 300 300 b 0
RX 445486769 295 295 b 1
RX 445488039 1270 1270 a 0
RX 445488334 295 295 b 1
RX 445488583 249 245 b 0
RX 445488879 296 295 b 1
RX 445490149 1270 1270 a 0
RX 445490443 294 290 b 1
RX 445490701 258 255 b 0
RX 445490993 292 290 b 1
RX 445492264 1271 1270 a 0
RX 445492557 293 290 b 1
RX 445492810 253 250 b 0
RX 445493102 292 290 b 1
RX 445494374 1272 1270 a 0
RX 445494667 293 290 b 1
RX 445494973 306 305 b 0
RX 445495265 292 290 b 1
RX 445496536 1271 1270 a 0
RX 445496830 294 290 b 1
RX 445497082 252 250 b 0
RX 445497378 296 295 b 1
RX 445497629 251 250 b 0
RX 445497924 295 295 b 1
RX 445499199 1275 1275 a 0
RX 445499493 294 290 b 1
RX 445500763 1270 1270 a 0
RX 445501055 292 290 b 1
RX 445501308 253 250 b 0
RX 445501603 295 295 b 1
RX 445502879 1276 1275 a 0
RX 445503170 291 290 b 1
RX 445503474 304 300 b 0
RX 445503769 295 295 b 1
RX 445505048 1279 1275 a 0
RX 445505331 283 280 b 1
RX 445505585 254 250 b 0
RX 445505877 292 290 b 1
RX 445506133 256 255 b 0
RX 445506425 292 290 b 1
RX 445507698 1273 1270 a 0
RX 445507990 292 290 b 1
RX 445508244 254 250 b 0
RX 445508535 291 290 b 1
RX 445509811 1276 1275 a 0
RX 445510103 292 290 b 1
RX 445511376 1273 1270 a 0
RX 445511668 292 290 b 1
RX 445511972 304 300 b 0
RX 445512264 292 290 b 1
RX 445513539 1275 1275 a 0
RX 445513830 291 290 b 1
RX 445514082 252 250 b 0
RX 445514374 292 290 b 1
RX 445515653 1279 1275 a 0
RX 445515945 292 290 b 1
RX 445516196 251 250 b 0
RX 445516489 293 290 b 1
RX 445517763 1274 1270 a 0
RX 445518053 290 290 b 1
RX 445518306 253 250 b 0
RX 445518600 294 290 b 1
RX 445519879 1279 1275 a 0
RX 445520169 290 290 b 1
RX 445520395 226 225 b 0
RX 445520659 264 260 b 1
RX 445531157 10498 10495 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok S35313351335151333333513353133333
RX 445531444 287 285 b 1
RX 445534143 2699 2695 s 0
RX 445534435 292 290 b 1
RX 445535704 1269 1265 a 0
RX 445535997 293 290 b 1
RX 445536248 251 250 b 0
RX 445536542 294 290 b 1
RX 445537814 1272 1270 a 0
RX 445538107 293 290 b 1
RX 445538359 252 250 b 0
RX 445538654 295 295 b 1
RX 445538905 251 250 b 0
RX 445539199 294 290 b 1
RX 445540477 1278 1275 a 0
RX 445540770 293 290 b 1
RX 445541021 251 250 b 0
RX 445541314 293 290 b 1
RX 445542638 1324 1320 a 0
RX 445542931 293 290 b 1
RX 445544203 1272 1270 a 0
RX 445544494 291 290 b 1
RX 445544750 256 255 b 0
RX 445545045 295 295 b 1
RX 445546317 1272 1270 a 0
RX 445546607 290 290 b 1
RX 445546860 253 250 b 0
RX 445547153 293 290 b 1
RX 445548427 1274 1270 a 0
RX 445548718 291 290 b 1
RX 445548973 255 255 b 0
RX 445549266 293 290 b 1
RX 445549519 253 250 b 0
RX 445549812 293 290 b 1
RX 445551142 1330 1330 a 0
RX 445551432 290 290 b 1
RX 445552706 1274 1270 a 0
RX 445552996 290 290 b 1
RX 445553249 253 250 b 0
RX 445553542 293 290 b 1
RX 445554817 1275 1275 a 0
RX 445555107 290 290 b 1
RX 445555364 257 255 b 0
RX 445555656 292 290 b 1
RX 445556931 1275 1275 a 0
RX 445557221 290 290 b 1
RX 445557476 255 255 b 0
RX 445557769 293 290 b 1
RX 445558022 253 250 b 0
RX 445558316 294 290 b 1
RX 445559642 1326 1325 a 0
RX 445559931 289 285 b 1
RX 445561206 1275 1275 a 0
RX 445561496 290 290 b 1
RX 445561750 254 250 b 0
RX 445562042 292 290 b 1
RX 445562296 254 250 b 0
RX 445562589 293 290 b 1
RX 445563868 1279 1275 a 0
RX 445564157 289 285 b 1
RX 445565433 1276 1275 a 0
RX 445565724 291 290 b 1
RX 445565976 252 250 b 0
RX 445566267 291 290 b 1
RX 445567549 1282 1280 a 0
RX 445567838 289 285 b 1
RX 445568143 305 305 b 0
RX 445568436 293 290 b 1
RX 445569710 1274 1270 a 0
RX 445569998 288 285 b 1
