[0;32mI (19152) app_main: t=1605354878 138142000[0m
[0;32mI (20142) app_main: t=1605354879 128142000[0m
[0;32mI (21132) app_main: t=1605354880 118142000[0m
RX 21249836 249 245 b 0
RX 21250129 293 290 b 1
RX 21250380 251 250 b 0
RX 21250672 292 290 b 1
RX 21251999 1327 1325 a 0
RX 21252289 290 290 b 1
RX 21253557 1268 1265 a 0
RX 21253850 293 290 b 1
RX 21254098 248 245 b 0
RX 21254390 292 290 b 1
RX 21255659 1269 1265 a 0
RX 21255954 295 295 b 1
RX 21256206 252 250 b 0
RX 21256498 292 290 b 1
RX 21257773 1275 1275 a 0
RX 21258059 286 285 b 1
RX 21258309 250 250 b 0
RX 21258601 292 290 b 1
RX 21258853 252 250 b 0
RX 21259147 294 290 b 1
RX 21260468 1321 1320 a 0
RX 21260758 290 290 b 1
RX 21262026 1268 1265 a 0
RX 21262320 294 290 b 1
RX 21262570 250 250 b 0
RX 21262862 292 290 b 1
RX 21263113 251 250 b 0
RX 21263405 292 290 b 1
RX 21264680 1275 1275 a 0
RX 21264970 290 290 b 1
RX 21266239 1269 1265 a 0
RX 21266532 293 290 b 1
RX 21266779 247 245 b 0
RX 21267073 294 290 b 1
RX 21268347 1274 1270 a 0
RX 21268641 294 290 b 1
RX 21268940 299 295 b 0
RX 21269232 292 290 b 1
RX 21270501 1269 1265 a 0
RX 21270794 293 290 b 1
RX 21271042 248 245 b 0
RX 21271335 293 290 b 1
RX 21272608 1273 1270 a 0
RX 21272897 289 285 b 1
RX 21273151 254 250 b 0
RX 21273443 292 290 b 1
RX 21274711 1268 1265 a 0
RX 21275004 293 290 b 1
RX 21275253 249 245 b 0
RX 21275546 293 290 b 1
RX 21276815 1269 1265 a 0
RX 21277108 293 290 b 1
RX 21277410 302 300 b 0
RX 21277703 293 290 b 1
RX 21278971 1268 1265 a 0
RX 21279264 293 290 b 1
RX 21279514 250 250 b 0
RX 21279807 293 290 b 1
RX 21280057 250 250 b 0
RX 21280351 294 290 b 1
RX 21281625 1274 1270 a 0
RX 21281916 291 290 b 1
RX 21283184 1268 1265 a 0
RX 21283476 292 290 b 1
RX 21283724 248 245 b 0
RX 21284018 294 290 b 1
RX 21285292 1274 1270 a 0
RX 21285582 290 290 b 1
RX 21285887 305 305 b 0
RX 21286177 290 290 b 1
RX 21287446 1269 1265 a 0
RX 21287737 291 290 b 1
RX 21287989 252 250 b 0
RX 21288282 293 290 b 1
RX 21288533 251 250 b 0
RX 21288826 293 290 b 1
RX 21290096 1270 1270 a 0
RX 21290387 291 290 b 1
RX 21290638 251 250 b 0
RX 21290930 292 290 b 1
RX 21292202 1272 1270 a 0
RX 21292494 292 290 b 1
RX 21293762 1268 1265 a 0
RX 21294054 292 290 b 1
RX 21294356 302 300 b 0
RX 21294649 293 290 b 1
RX 21295919 1270 1270 a 0
RX 21296210 291 290 b 1
RX 21296459 249 245 b 0
RX 21296754 295 295 b 1
RX 21298026 1272 1270 a 0
RX 21298318 292 290 b 1
RX 21298567 249 245 b 0
RX 21298859 292 290 b 1
RX 21300129 1270 1270 a 0
RX 21300420 291 290 b 1
RX 21300669 249 245 b 0
